title,author,length
Magic Bleeds (Dramatized Adaptation),By: Ilona Andrews,Length: 11 hrs and 43 mins
Rak Chazak,By: Cody Bobay,Length: 2 hrs and 58 mins
Dead Reckoning,By: Joshua Dalzelle,Length: 8 hrs and 26 mins
Beautiful Russian Monster,By: Odette Stone,Length: 12 hrs and 14 mins
Born to Be Badger,By: Shelly Laurenston,Length: 10 hrs and 38 mins
Dr. Brandt,By: Raylin Marks,Length: 11 hrs and 59 mins
He's Not My Type,By: Meghan Quinn,Length: 11 hrs and 40 mins
Winter Lost,By: Patricia Briggs,Length: 11 hrs
A Sword from the Embers,By: Chloe C. Peñaranda,Length: 25 hrs and 34 mins
"Hell Mode, Volume 2","By: Hamuo, Taishi - translator",Length: 9 hrs and 27 mins
Poor Charlie’s Almanack,By: Charles T. Munger,Length: 13 hrs and 9 mins
The Gospel of Mark,By: Amy-Jill Levine,Length: 6 hrs and 28 mins
God of Fury,By: Rina Kent,Length: 15 hrs and 59 mins
Husband and Wife,By: K. L. Slater,Length: 9 hrs and 11 mins
Red Sky Mourning,By: Jack Carr,Length: 15 hrs and 30 mins
The Last Raid,By: Michael Stephen Fuchs,Length: 10 hrs and 54 mins
Kristin Lavransdatter (Penguin Classics Deluxe Edition),"By: Sigrid Undset, Tiina Nunnally - editor translator, Brad Leithauser - introduction",Length: 47 hrs and 11 mins
Boss Chicks 2,By: Shvonne Latrice,Length: 11 hrs and 44 mins
The Engineer,By: Will Wight,Length: Not Yet Known
Outrageous,By: Kliph Nesteroff,Length: 10 hrs and 30 mins
