,title,author,length
0,Magic Bleeds (Dramatized Adaptation),By: Ilona Andrews,Length: 11 hrs and 43 mins
1,Rak Chazak,By: Cody Bobay,Length: 2 hrs and 58 mins
2,Dead Reckoning,By: Joshua Dalzelle,Length: 8 hrs and 26 mins
3,Born to Be Badger,By: Shelly Laurenston,Length: 10 hrs and 38 mins
4,He's Not My Type,By: Meghan Quinn,Length: 11 hrs and 40 mins
5,A Sword from the Embers,By: Chloe C. Peñaranda,Length: 25 hrs and 34 mins
6,Dr. Brandt,By: Raylin Marks,Length: 11 hrs and 59 mins
7,Poor Charlie’s Almanack,By: Charles T. Munger,Length: 13 hrs and 9 mins
8,Winter Lost,By: Patricia Briggs,Length: 11 hrs
9,The Gospel of Mark,By: Amy-Jill Levine,Length: 6 hrs and 28 mins
10,12 Power Principles for Success,By: Bob Proctor,Length: 5 hrs and 59 mins
11,Shadowblade,"By: Terry Mancour, Emily Burch Harris",Length: 21 hrs and 22 mins
12,You Like It Darker,By: Stephen King,Length: 20 hrs
13,God of Fury,By: Rina Kent,Length: 15 hrs and 59 mins
14,By the Grace of the Gods: Volume 7,"By: Roy, Adam Seacord - translator",Length: 6 hrs and 9 mins
15,Husband and Wife,By: K. L. Slater,Length: 9 hrs and 11 mins
16,Rein Me In,By: Kayla Grosse,Length: 9 hrs and 49 mins
17,Red Sky Mourning,By: Jack Carr,Length: 15 hrs and 30 mins
18,Beautiful Russian Monster,By: Odette Stone,Length: 12 hrs and 14 mins
19,Kristin Lavransdatter (Penguin Classics Deluxe Edition),"By: Sigrid Undset, Tiina Nunnally - editor translator, Brad Leithauser - introduction",Length: 47 hrs and 11 mins
20,The Fourth Turning,"By: William Strauss, Neil Howe",Length: 19 hrs and 27 mins
21,The Engineer,By: Will Wight,Length: Not Yet Known
22,Outrageous,By: Kliph Nesteroff,Length: 10 hrs and 30 mins
23,The Business of Love,By: Charley Clarke,Length: 9 hrs and 29 mins
24,"Hell Mode, Volume 2","By: Hamuo, Taishi - translator",Length: 9 hrs and 27 mins
25,Dungeon Cleaners Inc. 2,By: J. R. Saileri,Length: 15 hrs and 43 mins
26,The Last Raid,By: Michael Stephen Fuchs,Length: 10 hrs and 54 mins
27,One Grave at a Time (Dramatized Adaptation),By: Jeaniene Frost,Length: 6 hrs and 14 mins
28,The Primal Hunter 7 - A LitRPG Adventure,By: Zogarth,Length: 17 hrs and 49 mins
29,Love the Way You Spy,By: Lexi Blake,Length: 14 hrs and 32 mins
30,When Gracie Met The Grump,By: Mariana Zapata,Length: 19 hrs and 20 mins
31,Winds of Courage,By: Melanie Cellier,Length: 10 hrs and 48 mins
32,Super Powereds: Year 4 (Part 1 of 4) (Dramatized Adaptation),By: Drew Hayes,Length: 7 hrs and 29 mins
33,"Coffee, Cream Pies, and Crimes",By: Harper Lin,Length: 5 hrs and 43 mins
34,Broken Dreams,By: Corinne Michaels,Length: 9 hrs and 54 mins
35,On a Throne of Lies,By: Eric Ugland,Length: 10 hrs and 45 mins
36,After the Storm,By: Laura Pavlov,Length: 8 hrs and 40 mins
37,Red Company: Contact,By: B.V. Larson,Length: 9 hrs and 57 mins
38,Detrás del ruido: Todo lo que aprendí para rehacerme por completo y mantener la cordura,By: Ángel Martín,Length: 4 hrs and 4 mins
39,Fourth Wing (Part 1 of 2) (Dramatized Adaptation),By: Rebecca Yarros,Length: 8 hrs
40,Thesaurize,By: Dakota Krout,Length: 11 hrs and 40 mins
41,Tracing Time,By: Craig Childs,Length: 7 hrs and 23 mins
42,Metabolism Makeover,By: Megan Hansen,Length: 4 hrs and 9 mins
43,The Wuhan Cover-Up,By: Robert F. Kennedy Jr.,Length: 15 hrs and 50 mins
44,House of Flame and Shadow,By: Sarah J. Maas,Length: Not Yet Known
45,GodTalk,By: Neale Donald Walsch,Length: 4 hrs and 47 mins
46,Defiance of the Fall 11,"By: TheFirstDefier, JF Brink",Length: 24 hrs and 47 mins
47,Here Be Dragons,By: Greig Beck,Length: 11 hrs and 39 mins
48,That Others May Live,By: Sara Driscoll,Length: 11 hrs and 6 mins
49,Nano,By: Marc Stapleton,Length: 16 hrs and 24 mins
50,"Night, Forgotten",By: Meghan Joyce Tozer,Length: 7 hrs and 16 mins
51,Raw VIII,By: Misty Vixen,Length: 9 hrs and 17 mins
52,Aftermath,By: Craig Alanson,Length: 21 hrs and 6 mins
53,How to Lose a Guy Before Christmas,By: A.J. Pine,Length: 5 hrs and 24 mins
54,The Chaos Agent,By: Mark Greaney,Length: Not Yet Known
55,Born of Blood and Ash,By: Jennifer L. Armentrout,Length: 24 hrs
56,The Demon's Design,By: Christopher G. Nuttall,Length: 13 hrs and 23 mins
57,Uppercut,By: Mark Dawson,Length: 11 hrs and 3 mins
58,Moral Stand,By: Daniel Schinhofen,Length: 13 hrs and 3 mins
59,Cradled in the Arms of Compassion,By: Frank Rogers Jr.,Length: 19 hrs and 22 mins
60,Europe Between the Oceans,By: Barry Cunliffe,Length: 18 hrs and 48 mins
61,The Sleeper: American Assassin,By: Saul Herzog,Length: 16 hrs and 40 mins
62,A Duel with the Vampire Lord (Dramatized Adaptation),By: Elise Kova,Length: 12 hrs and 33 mins
63,The Miracle Morning (Updated and Expanded Edition),By: Hal Elrod,Length: 7 hrs and 22 mins
64,Defiant,By: Brandon Sanderson,Length: 13 hrs and 49 mins
65,"The Year in Tech, 2024",By: Harvard Business Review,Length: 3 hrs and 41 mins
66,Choose Your Enemies Wisely,"By: Patrick Bet-David, Greg Dinkin",Length: 8 hrs and 6 mins
67,The Complete Dark Days Series,By: Ryan Schow,Length: 38 hrs and 55 mins
68,Don't Cross This Line (Dramatized Adaptation),By: Michael Anderle,Length: 6 hrs and 8 mins
69,The Final Year of Anne Boleyn,By: Natalie Grueninger,Length: 10 hrs and 10 mins
70,Boss Chicks 2,By: Shvonne Latrice,Length: 11 hrs and 44 mins
71,Path of Tyrants,"By: J.N. Chaney, Terry Maggert",Length: 10 hrs and 32 mins
72,Death on the Scotland Express,By: Fliss Chester,Length: 7 hrs and 56 mins
73,"The Kingdom, the Power, and the Glory",By: Tim Alberta,Length: 18 hrs and 16 mins
74,Motivational Interviewing,"By: William R. Miller PhD, Stephen Rollnick PhD",Length: 9 hrs and 35 mins
75,Lunar Supremacy,"By: Rhett C. Bruno, Felix R. Savage",Length: 13 hrs and 2 mins
76,The Daughters of Block Island,By: Christa Carmen,Length: 10 hrs and 58 mins
77,Peacemaker Wars,"By: J.N. Chaney, Terry Maggert",Length: 14 hrs and 42 mins
78,Dom,By: S.J. Tilly,Length: 12 hrs and 25 mins
79,The Frontier Overland Company,"By: William W. Johnstone, J. A. Johnstone",Length: 9 hrs and 40 mins
80,Oath and Honor,By: Liz Cheney,Length: 12 hrs and 14 mins
81,The End and the Death: Volume II,By: Dan Abnett,Length: 18 hrs and 30 mins
82,The Guardian,By: Dean Henegar,Length: 10 hrs and 41 mins
83,Songs of Wine and Murder,By: Lynn Cahoon,Length: 6 hrs and 57 mins
84,Mushoku Tensei,By: Rifujin na Magonote,Length: 8 hrs and 3 mins
85,Lincoln's Dreams,By: Connie Willis,Length: 8 hrs and 43 mins
86,Torn,By: Carian Cole,Length: 12 hrs and 7 mins
87,Unnatural Death,By: Patricia Cornwell,Length: 11 hrs and 48 mins
88,Hell Divers XI: Renegades,By: Nicholas Sansbury Smith,Length: 14 hrs
89,Last Man Standing,By: Nick Noble,Length: 7 hrs and 57 mins
90,Camino Ghosts,By: John Grisham,Length: 9 hrs
91,The Mystery Guest,By: Nita Prose,Length: 8 hrs and 23 mins
92,Day Trading Attention,By: Gary Vaynerchuk,Length: 7 hrs and 45 mins
93,Eternal Reign,"By: Caroline Peckham, Susanne Valenti",Length: 14 hrs and 47 mins
94,"Iwo, 26 Charlie",By: P. T. Deutermann,Length: 9 hrs and 14 mins
95,Redemption,By: Meghan March,Length: 6 hrs
96,Snowed In,By: Catherine Walsh,Length: 10 hrs and 38 mins
